TurbineID,WindSpeed,RotorSpeed,BladeAngle,GearboxTemp,GeneratorTemp,Vibration,PowerOutput,Humidity,AmbientTemperature,TimeSinceLastMaintenance,Failure,FaultType
T23,15.0,16.7,38.0,73.0,85.0,1.44,1204.0,63.0,32.0,277,0.0,None
T71,13.2,12.9,38.0,81.0,90.0,0.82,1294.0,80.0,24.0,163,0.0,None
T73,6.6,16.8,33.0,93.0,93.0,0.59,1584.0,60.0,32.0,75,0.0,None
T27,22.8,16.7,22.0,72.0,91.0,1.48,1626.0,76.0,16.0,265,1.0,Generator
T88,9.9,16.1,40.0,89.0,79.0,0.94,994.0,77.0,28.0,286,0.0,None
T93,6.3,17.1,34.0,85.0,85.0,0.93,1801.0,73.0,31.0,246,0.0,None
T81,15.7,12.7,22.0,79.0,83.0,0.59,1601.0,79.0,29.0,252,0.0,None
T84,21.9,19.8,29.0,93.0,90.0,1.24,1260.0,67.0,32.0,174,0.0,None
T71,13.1,18.6,45.0,72.0,93.0,1.22,1149.0,62.0,17.0,103,0.0,None
T43,20.7,17.5,25.0,85.0,81.0,0.65,1563.0,65.0,18.0,203,0.0,None
T7,21.7,10.3,18.0,85.0,85.0,0.73,1665.0,62.0,18.0,108,0.0,None
T92,14.1,15.9,16.0,73.0,90.0,0.52,1921.0,70.0,28.0,185,0.0,None
T83,16.8,17.1,21.0,74.0,76.0,1.39,1103.0,79.0,35.0,247,0.0,None
T63,15.7,18.5,21.0,82.0,94.0,0.74,1453.0,70.0,23.0,106,0.0,None
T84,23.8,19.5,41.0,86.0,91.0,1.43,1951.0,67.0,33.0,60,1.0,Generator
T44,19.5,19.2,20.0,72.0,86.0,1.07,1900.0,78.0,33.0,235,0.0,None
T39,23.5,14.1,41.0,70.0,91.0,0.93,1426.0,72.0,31.0,43,1.0,Blades
T40,9.4,19.0,18.0,76.0,92.0,0.51,1507.0,79.0,25.0,70,0.0,None
T7,11.2,10.0,42.0,85.0,85.0,0.59,1908.0,79.0,21.0,192,0.0,None
T70,6.4,13.5,23.0,71.0,84.0,0.66,935.0,79.0,16.0,290,0.0,None
T25,15.0,11.1,33.0,92.0,92.0,0.61,1974.0,74.0,25.0,106,0.0,None
T59,22.5,18.8,20.0,75.0,92.0,0.76,1975.0,70.0,32.0,286,0.0,None
T13,11.5,19.3,27.0,93.0,77.0,0.65,1939.0,66.0,25.0,292,0.0,None
T86,7.6,12.6,18.0,76.0,93.0,1.16,1962.0,79.0,15.0,297,0.0,None
T81,6.4,13.7,32.0,80.0,81.0,0.8,1234.0,71.0,31.0,253,0.0,None
T86,14.0,19.8,25.0,84.0,88.0,1.22,941.0,80.0,18.0,233,0.0,None
T98,8.3,15.7,41.0,80.0,89.0,0.64,1213.0,78.0,18.0,65,0.0,None
T62,11.9,15.0,20.0,71.0,81.0,0.71,1280.0,68.0,20.0,62,0.0,None
T8,21.4,15.0,23.0,97.0,81.0,1.29,1288.0,78.0,19.0,161,0.0,None
T45,12.7,17.0,20.0,79.0,89.0,1.13,1649.0,71.0,29.0,230,0.0,None
T18,17.2,19.5,32.0,74.0,79.0,0.6,1850.0,75.0,34.0,68,0.0,None
T88,15.0,13.7,18.0,74.0,92.0,1.46,1144.0,70.0,17.0,88,1.0,Generator
T60,19.4,11.7,21.0,99.0,79.0,1.26,1392.0,80.0,23.0,154,0.0,None
T60,8.1,11.9,35.0,74.0,82.0,1.05,1316.0,68.0,27.0,257,0.0,None
T2,23.4,10.2,17.0,80.0,80.0,0.84,1741.0,62.0,24.0,82,0.0,None
T66,17.9,15.6,37.0,72.0,80.0,0.59,1250.0,77.0,22.0,83,0.0,None
T91,10.4,19.3,18.0,92.0,95.0,0.86,962.0,75.0,19.0,177,0.0,None
T14,7.5,17.1,33.0,88.0,80.0,0.82,1267.0,63.0,26.0,208,0.0,None
T48,8.0,19.9,45.0,86.0,87.0,0.58,1289.0,70.0,25.0,205,0.0,None
T56,20.7,19.1,20.0,96.0,90.0,1.28,1805.0,74.0,35.0,280,0.0,None
T12,16.8,14.9,23.0,87.0,76.0,0.92,1503.0,68.0,24.0,256,0.0,None
T96,12.6,14.9,42.0,99.0,93.0,1.39,1476.0,78.0,33.0,83,1.0,Gearbox
T92,11.7,16.3,34.0,89.0,78.0,0.66,1559.0,79.0,34.0,251,0.0,None
T55,22.1,11.1,30.0,81.0,87.0,0.82,1518.0,77.0,22.0,232,0.0,None
T28,22.5,16.1,32.0,71.0,88.0,0.78,1650.0,71.0,21.0,169,0.0,None
T89,16.6,14.6,24.0,92.0,88.0,1.37,1894.0,69.0,34.0,128,1.0,Gearbox
T4,15.5,16.4,41.0,81.0,90.0,1.01,1864.0,72.0,27.0,226,0.0,None
T90,21.3,15.7,37.0,88.0,94.0,0.64,1445.0,70.0,19.0,195,0.0,None
T36,20.0,13.1,34.0,96.0,94.0,0.86,1831.0,62.0,20.0,51,0.0,None
T50,13.0,16.1,43.0,70.0,87.0,1.44,1849.0,76.0,15.0,110,0.0,None
T3,6.7,13.7,32.0,93.0,82.0,1.05,1769.0,79.0,21.0,50,0.0,None
T1,20.4,11.9,30.0,83.0,81.0,0.54,946.0,70.0,27.0,266,0.0,None
T17,8.4,16.8,44.0,74.0,93.0,0.56,1628.0,61.0,21.0,145,0.0,None
T71,5.3,13.1,21.0,87.0,92.0,0.74,1245.0,66.0,20.0,170,0.0,None
T62,21.9,18.9,19.0,86.0,81.0,1.12,1861.0,62.0,16.0,123,0.0,None
T48,16.6,12.0,20.0,95.0,78.0,0.75,1212.0,80.0,32.0,203,0.0,None
T62,22.8,16.0,45.0,86.0,92.0,1.35,1910.0,63.0,28.0,216,1.0,Generator
T69,14.7,15.7,35.0,95.0,87.0,1.13,1577.0,62.0,33.0,84,0.0,None
T19,23.5,12.0,24.0,86.0,81.0,0.8,1610.0,70.0,15.0,232,0.0,None
T34,12.1,14.4,22.0,83.0,87.0,0.89,1877.0,61.0,33.0,131,0.0,None
T99,19.5,16.8,17.0,81.0,76.0,0.88,1984.0,73.0,25.0,100,0.0,None
T49,11.0,13.2,19.0,75.0,79.0,0.81,1240.0,77.0,18.0,134,0.0,None
T80,5.0,11.1,42.0,88.0,86.0,1.13,998.0,65.0,20.0,189,0.0,None
T47,12.6,16.2,37.0,86.0,86.0,0.7,1696.0,79.0,18.0,234,0.0,None
T91,19.8,12.2,43.0,99.0,80.0,0.79,977.0,73.0,20.0,173,0.0,None
T50,8.0,16.8,28.0,82.0,95.0,0.59,1487.0,63.0,20.0,247,0.0,None
T89,15.1,18.4,33.0,83.0,83.0,0.88,1280.0,73.0,27.0,197,0.0,None
T26,9.2,11.2,30.0,75.0,89.0,0.56,1329.0,61.0,20.0,198,0.0,None
T56,6.5,14.4,41.0,88.0,80.0,0.52,1159.0,67.0,25.0,211,0.0,None
T78,17.3,14.4,45.0,95.0,83.0,1.15,1669.0,60.0,28.0,63,0.0,None
T14,24.0,16.3,43.0,77.0,92.0,0.66,1529.0,69.0,31.0,49,1.0,Blades
T78,11.2,13.3,33.0,70.0,92.0,0.54,1948.0,77.0,33.0,133,0.0,None
T25,16.6,14.2,17.0,91.0,78.0,0.57,1291.0,74.0,18.0,253,0.0,None
T100,24.1,10.1,34.0,71.0,82.0,0.7,1334.0,64.0,28.0,218,0.0,None
T4,18.0,11.2,18.0,82.0,79.0,1.22,1082.0,64.0,17.0,152,0.0,None
T79,18.5,15.7,19.0,88.0,93.0,0.51,1573.0,74.0,20.0,168,0.0,None
T32,8.6,12.2,21.0,82.0,90.0,1.23,1004.0,73.0,26.0,284,0.0,None
T82,14.9,11.4,26.0,78.0,86.0,1.1,1965.0,63.0,34.0,146,0.0,None
T78,12.3,13.2,33.0,94.0,88.0,1.01,1901.0,73.0,27.0,168,0.0,None
T65,14.4,11.6,25.0,79.0,93.0,1.41,1670.0,76.0,33.0,259,1.0,Generator
T61,21.0,10.6,29.0,75.0,81.0,1.33,1249.0,75.0,28.0,142,0.0,None
T20,14.2,12.8,16.0,82.0,75.0,0.92,1292.0,68.0,30.0,135,0.0,None
T74,6.3,11.6,34.0,74.0,76.0,0.51,996.0,76.0,19.0,64,0.0,None
T10,23.1,18.0,35.0,91.0,76.0,1.21,1172.0,68.0,25.0,296,0.0,None
T88,15.9,10.6,18.0,91.0,78.0,0.55,1288.0,73.0,31.0,132,0.0,None
T34,23.5,17.5,39.0,70.0,86.0,0.78,1393.0,75.0,28.0,233,0.0,None
T61,16.4,13.8,34.0,91.0,95.0,0.99,1411.0,75.0,16.0,263,0.0,None
T92,6.4,16.8,30.0,79.0,83.0,0.6,1874.0,67.0,28.0,49,0.0,None
T27,16.1,10.5,32.0,90.0,89.0,1.18,1395.0,71.0,19.0,259,0.0,None
T40,16.5,19.2,30.0,91.0,91.0,0.82,1953.0,72.0,34.0,63,0.0,None
T65,9.3,17.7,17.0,78.0,91.0,0.86,992.0,65.0,34.0,120,0.0,None
T33,14.4,11.4,37.0,76.0,84.0,1.15,1132.0,60.0,32.0,127,0.0,None
T68,14.2,12.2,30.0,95.0,86.0,0.9,1327.0,62.0,19.0,279,0.0,None
T71,17.5,16.4,20.0,92.0,82.0,0.72,1877.0,61.0,17.0,184,0.0,None
T9,10.2,19.2,35.0,95.0,89.0,0.68,1034.0,66.0,33.0,224,0.0,None
T16,16.6,14.5,36.0,83.0,83.0,1.22,1291.0,67.0,25.0,152,0.0,None
T5,9.8,14.9,21.0,84.0,81.0,1.25,1023.0,77.0,33.0,152,0.0,None
T98,13.9,12.4,39.0,80.0,88.0,0.7,1751.0,62.0,32.0,208,0.0,None
T23,7.5,13.8,29.0,85.0,82.0,0.82,1211.0,64.0,32.0,255,0.0,None
T43,5.7,12.9,20.0,89.0,83.0,1.46,1378.0,72.0,20.0,250,0.0,None
T89,11.4,13.5,35.0,94.0,89.0,1.48,1799.0,69.0,28.0,139,1.0,Gearbox
T57,10.5,10.2,33.0,75.0,92.0,1.09,1085.0,80.0,34.0,66,0.0,None
T51,13.1,10.4,20.0,82.0,84.0,1.26,1942.0,75.0,22.0,39,0.0,None
T13,24.2,16.8,41.0,84.0,85.0,1.25,1333.0,65.0,28.0,191,1.0,Blades
T24,15.4,16.8,41.0,85.0,90.0,0.9,1263.0,74.0,22.0,262,0.0,None
T11,16.1,13.3,40.0,86.0,79.0,0.55,1110.0,65.0,20.0,232,0.0,None
T52,23.8,18.9,27.0,94.0,83.0,1.24,1414.0,74.0,31.0,205,0.0,None
T17,23.4,12.7,40.0,97.0,91.0,0.64,1979.0,61.0,19.0,139,0.0,None
T37,22.7,14.0,40.0,75.0,93.0,0.79,1440.0,64.0,17.0,97,0.0,None
T13,7.0,17.3,45.0,91.0,88.0,0.82,1397.0,62.0,20.0,269,0.0,None
T62,17.7,17.4,44.0,84.0,83.0,0.85,908.0,69.0,24.0,167,0.0,None
T91,21.2,18.6,26.0,83.0,87.0,0.97,1216.0,71.0,31.0,132,0.0,None
T84,21.7,10.3,21.0,73.0,79.0,1.0,1151.0,65.0,20.0,143,0.0,None
T97,16.6,11.8,24.0,72.0,76.0,0.98,943.0,80.0,33.0,145,0.0,None
T96,5.3,16.4,30.0,99.0,76.0,0.66,1391.0,68.0,26.0,296,0.0,None
T8,24.5,13.4,39.0,89.0,77.0,1.15,1049.0,71.0,29.0,33,0.0,None
T56,14.4,10.4,37.0,84.0,80.0,1.29,1453.0,69.0,20.0,244,0.0,None
T93,12.9,15.9,39.0,93.0,84.0,0.96,1400.0,77.0,32.0,263,0.0,None
T83,12.9,13.9,26.0,73.0,80.0,1.34,1145.0,67.0,16.0,134,0.0,None
T70,13.5,13.6,22.0,88.0,87.0,0.94,1778.0,79.0,19.0,162,0.0,None
T44,9.8,12.6,16.0,90.0,95.0,1.07,1919.0,76.0,31.0,215,0.0,None
T60,11.5,10.1,34.0,84.0,85.0,0.57,1047.0,62.0,16.0,296,0.0,None
T41,24.7,11.8,39.0,78.0,90.0,0.65,1007.0,78.0,27.0,77,0.0,None
T21,12.4,14.7,42.0,99.0,81.0,1.27,1279.0,64.0,29.0,151,0.0,None
T86,15.5,12.8,29.0,79.0,94.0,0.75,1571.0,61.0,26.0,278,0.0,None
T42,22.0,18.7,43.0,74.0,80.0,0.59,1595.0,64.0,17.0,255,1.0,Blades
T74,15.5,11.4,21.0,89.0,87.0,1.07,1587.0,62.0,27.0,281,0.0,None
T74,11.5,18.8,30.0,87.0,95.0,0.59,1533.0,72.0,27.0,81,0.0,None
T29,15.5,14.0,21.0,93.0,91.0,1.18,1324.0,69.0,25.0,185,0.0,None
T80,7.3,12.8,21.0,93.0,95.0,1.19,1760.0,69.0,22.0,272,0.0,None
T65,7.6,13.0,44.0,89.0,83.0,0.95,1949.0,72.0,20.0,106,0.0,None
T17,18.9,13.3,40.0,76.0,77.0,1.19,1549.0,70.0,17.0,192,0.0,None
T30,23.3,15.1,15.0,97.0,80.0,1.3,1141.0,80.0,16.0,38,0.0,None
T26,19.5,13.5,23.0,77.0,94.0,0.7,1518.0,72.0,31.0,292,0.0,None
T53,6.5,16.5,21.0,73.0,82.0,1.15,1731.0,72.0,26.0,65,0.0,None
T19,13.1,14.3,19.0,79.0,77.0,1.19,1813.0,68.0,18.0,64,0.0,None
T53,5.1,16.7,36.0,84.0,87.0,0.69,1690.0,69.0,17.0,299,0.0,None
T85,15.2,16.0,32.0,76.0,85.0,1.23,1880.0,80.0,17.0,103,0.0,None
T17,8.9,12.4,29.0,80.0,76.0,1.22,1947.0,60.0,18.0,272,0.0,None
T46,22.4,18.1,21.0,85.0,84.0,0.66,1441.0,63.0,16.0,110,0.0,None
T85,7.1,18.0,23.0,80.0,88.0,0.82,1495.0,67.0,30.0,189,0.0,None
T53,5.0,19.9,26.0,73.0,80.0,1.44,1271.0,78.0,22.0,113,0.0,None
T64,14.0,11.8,39.0,76.0,77.0,0.57,1625.0,79.0,21.0,63,0.0,None
T45,8.1,18.5,45.0,94.0,92.0,0.73,1555.0,61.0,24.0,284,0.0,None
T49,19.8,18.7,21.0,99.0,88.0,1.08,1097.0,63.0,21.0,172,0.0,None
T19,23.4,16.4,25.0,74.0,78.0,1.47,1664.0,78.0,29.0,206,0.0,None
T71,5.8,15.1,23.0,90.0,88.0,0.76,1786.0,65.0,21.0,89,0.0,None
T81,12.9,19.6,16.0,97.0,90.0,1.32,1099.0,68.0,27.0,171,1.0,Gearbox
T65,24.9,19.7,22.0,79.0,87.0,0.87,1081.0,60.0,22.0,41,0.0,None
T37,19.7,16.4,42.0,95.0,77.0,0.85,1603.0,70.0,23.0,282,0.0,None
T70,24.1,13.6,40.0,97.0,77.0,1.5,1028.0,77.0,31.0,277,1.0,Gearbox
T26,8.3,18.2,20.0,79.0,76.0,1.32,1791.0,67.0,25.0,218,0.0,None
T2,9.4,10.9,26.0,72.0,80.0,0.75,1607.0,78.0,23.0,293,0.0,None
T59,8.1,12.9,24.0,98.0,76.0,0.69,936.0,67.0,22.0,139,0.0,None
T96,11.0,19.9,19.0,80.0,91.0,0.58,1747.0,73.0,28.0,252,0.0,None
T5,19.5,18.1,34.0,70.0,75.0,0.98,1461.0,66.0,28.0,130,0.0,None
T37,8.3,19.4,32.0,84.0,87.0,0.83,1446.0,70.0,17.0,181,0.0,None
T31,15.5,15.9,28.0,73.0,91.0,0.88,1243.0,77.0,28.0,197,0.0,None
T76,10.4,14.1,41.0,97.0,93.0,0.93,1212.0,77.0,24.0,181,0.0,None
T99,21.6,19.8,34.0,75.0,83.0,1.49,1450.0,62.0,34.0,213,0.0,None
T94,5.1,13.1,23.0,79.0,87.0,0.5,903.0,79.0,24.0,196,0.0,None
T48,9.5,17.6,26.0,94.0,94.0,0.93,1775.0,70.0,34.0,248,0.0,None
T6,17.1,15.6,20.0,94.0,88.0,0.56,1762.0,64.0,31.0,30,0.0,None
T15,6.9,12.3,33.0,97.0,93.0,1.17,1709.0,77.0,34.0,158,0.0,None
T15,14.3,10.2,33.0,85.0,89.0,0.55,1563.0,73.0,19.0,149,0.0,None
T61,13.7,13.8,41.0,100.0,76.0,1.27,1225.0,70.0,22.0,194,0.0,None
T16,22.1,15.5,41.0,85.0,79.0,1.37,1624.0,76.0,27.0,169,1.0,Blades
T20,17.5,11.8,40.0,94.0,94.0,1.47,1042.0,64.0,17.0,97,1.0,Gearbox
T77,17.8,14.1,31.0,81.0,92.0,0.62,1190.0,72.0,29.0,100,0.0,None
T44,24.0,16.2,35.0,98.0,83.0,1.48,950.0,79.0,20.0,266,1.0,Gearbox
T42,24.6,17.1,38.0,91.0,78.0,0.91,1845.0,73.0,18.0,205,0.0,None
T46,18.1,10.5,18.0,72.0,78.0,1.13,1811.0,72.0,16.0,69,0.0,None
T95,15.4,16.6,24.0,73.0,93.0,0.5,1396.0,61.0,23.0,172,0.0,None
T34,17.2,10.6,20.0,97.0,78.0,0.87,1381.0,64.0,18.0,183,0.0,None
T64,12.6,10.3,30.0,94.0,83.0,0.85,1919.0,72.0,25.0,212,0.0,None
T29,24.7,11.5,40.0,80.0,93.0,1.0,1643.0,74.0,23.0,199,0.0,None
T3,19.1,16.5,22.0,86.0,76.0,0.63,1680.0,78.0,32.0,54,0.0,None
T9,10.8,10.5,37.0,96.0,88.0,1.19,1295.0,77.0,16.0,54,0.0,None
T75,6.2,10.2,27.0,73.0,82.0,1.1,1221.0,67.0,32.0,254,0.0,None
T75,5.9,11.2,42.0,74.0,77.0,0.71,1026.0,74.0,29.0,127,0.0,None
T25,9.1,19.5,34.0,91.0,86.0,1.48,980.0,69.0,28.0,108,1.0,Gearbox
T86,9.7,19.1,44.0,72.0,85.0,0.51,1896.0,70.0,35.0,165,0.0,None
T42,13.3,10.9,22.0,81.0,77.0,0.84,1897.0,79.0,16.0,190,0.0,None
T46,9.3,13.0,43.0,78.0,80.0,0.76,1150.0,75.0,25.0,204,0.0,None
T73,17.6,19.5,26.0,93.0,90.0,1.06,941.0,79.0,30.0,72,0.0,None
T84,9.2,11.0,34.0,70.0,90.0,1.39,1281.0,75.0,26.0,162,0.0,None
T59,8.8,10.9,20.0,73.0,87.0,1.16,1947.0,75.0,21.0,51,0.0,None
T21,14.4,10.9,38.0,73.0,77.0,0.55,1236.0,69.0,16.0,220,0.0,None
T74,22.8,19.8,44.0,80.0,92.0,1.36,1852.0,62.0,28.0,287,1.0,Generator
T22,14.4,17.4,39.0,77.0,78.0,0.77,1798.0,73.0,32.0,131,0.0,None
T29,13.3,12.1,33.0,77.0,89.0,0.61,1939.0,69.0,29.0,32,0.0,None
T63,16.6,10.5,28.0,81.0,76.0,0.93,1446.0,72.0,16.0,30,0.0,None
T73,10.1,19.7,25.0,76.0,82.0,1.4,1914.0,66.0,29.0,262,0.0,None
T61,12.1,14.3,28.0,73.0,85.0,0.53,1716.0,64.0,30.0,168,0.0,None
T64,9.3,16.0,25.0,87.0,76.0,1.13,1855.0,65.0,28.0,283,0.0,None
T69,16.4,12.8,40.0,99.0,78.0,0.83,1707.0,73.0,27.0,256,0.0,None
T40,18.9,17.6,42.0,88.0,81.0,1.12,1407.0,79.0,29.0,144,0.0,None
T75,18.5,12.0,43.0,93.0,95.0,0.77,1911.0,80.0,27.0,46,0.0,None
T1,10.1,17.9,28.0,99.0,91.0,1.47,1781.0,76.0,25.0,264,1.0,Gearbox
T65,20.6,12.3,31.0,75.0,92.0,0.61,1605.0,79.0,26.0,203,0.0,None
T62,10.1,11.0,32.0,84.0,88.0,0.66,1431.0,66.0,16.0,81,0.0,None
T54,8.0,14.8,35.0,87.0,81.0,0.55,1004.0,60.0,26.0,138,0.0,None
T60,12.0,18.1,15.0,80.0,89.0,1.29,1797.0,64.0,29.0,166,0.0,None
T46,17.0,13.8,40.0,88.0,88.0,0.59,1358.0,73.0,25.0,274,0.0,None
T5,7.8,10.3,23.0,89.0,87.0,0.78,1295.0,78.0,26.0,229,0.0,None
T22,18.0,15.5,29.0,95.0,81.0,0.71,1154.0,78.0,30.0,95,0.0,None
T90,22.3,16.8,40.0,95.0,80.0,0.85,1496.0,77.0,18.0,222,0.0,None
T53,10.9,17.4,45.0,74.0,82.0,1.27,1813.0,75.0,30.0,52,0.0,None
T70,14.0,14.0,39.0,75.0,81.0,1.45,1219.0,66.0,22.0,269,0.0,None
T32,9.6,11.0,16.0,77.0,77.0,1.38,1913.0,62.0,31.0,291,0.0,None
T11,12.2,15.8,26.0,78.0,91.0,1.34,1337.0,71.0,19.0,200,1.0,Generator
T10,5.4,13.3,22.0,87.0,82.0,0.92,1966.0,67.0,31.0,255,0.0,None
T39,24.1,19.5,44.0,80.0,89.0,1.3,1644.0,63.0,31.0,240,1.0,Blades
T98,13.3,15.0,23.0,99.0,81.0,1.28,1304.0,69.0,21.0,253,0.0,None
T31,20.8,14.7,43.0,74.0,87.0,0.75,1982.0,71.0,31.0,240,1.0,Blades
T12,7.9,13.1,43.0,77.0,76.0,0.76,1554.0,75.0,17.0,88,0.0,None
T80,21.2,13.4,40.0,96.0,77.0,1.0,1746.0,76.0,31.0,154,0.0,None
T38,22.2,15.1,18.0,88.0,82.0,1.46,1397.0,69.0,18.0,126,0.0,None
T67,19.3,13.1,15.0,86.0,80.0,0.61,1031.0,78.0,35.0,218,0.0,None
T66,23.1,18.9,39.0,88.0,82.0,1.49,1960.0,76.0,27.0,199,0.0,None
T52,8.3,14.4,40.0,78.0,94.0,0.66,1254.0,69.0,31.0,140,0.0,None
T5,14.5,12.9,44.0,93.0,76.0,0.99,1910.0,67.0,26.0,222,0.0,None
T11,17.4,11.6,22.0,85.0,84.0,0.8,1898.0,66.0,27.0,285,0.0,None
T25,16.9,16.7,37.0,71.0,79.0,0.92,1004.0,69.0,25.0,280,0.0,None
T35,22.2,10.3,31.0,75.0,82.0,1.46,1026.0,67.0,18.0,143,0.0,None
T35,9.3,14.5,25.0,94.0,89.0,1.13,1573.0,69.0,20.0,54,0.0,None
T22,8.5,15.5,33.0,80.0,94.0,0.8,939.0,72.0,34.0,155,0.0,None
T37,10.1,13.4,31.0,93.0,89.0,1.13,1363.0,63.0,22.0,56,0.0,None
T86,22.8,17.5,24.0,90.0,93.0,0.95,1481.0,76.0,16.0,51,0.0,None
